1,NSX,Sports coupe,"$60600",1991,Acura,USA
2,NSX,Sports coupe,"$157800",2016,Acura,USA
3,8C Competizione,Sports coupe,"$250000",2007,Alfa Romeo,Italy
4,156 GTA,Sedan,"$19950",2004,Alfa Romeo,Italy
5,GT 3.2,Sports coupe,"$11500",2003,Alfa Romeo,Italy
6,MiTo,Compact,"£15705",2010,Alfa Romeo,Italy
7,KZ-1,Supercar,$225500,2012,Ascari,Great Britain
8,DB7 Vantage Coupe,Sports coupe,"$140000",2000,Aston Martin,Great Britain
9,DB9 GT,Sports coupe,"$199950",2016,Aston Martin,Great Britain
10,DB11,Sports Coupe,TBD,2017,Aston Martin,Great Britain
11,Lagonda,Sedan,"$300000",2016,Aston Martin,Great Britain
12,Vulcan,Supercar,"$2300000",2016,Aston Martin,Great Britain
13,A5 Coupe,Coupe,"€33350",2012,Audi,Germany
14,TTS Coupe,Sports coupe,"€44900",2009,Audi,Germany
15,R8 V10,Sports coupe,"€165000",2016,Audi,Germany
16,R8 V10 5.2 FSI quattro,Sports coupe,"€142400",2010,Audi,Germany
17,Arnage,Sedan,"$224990",2009,Bentley,Great Britain
18,Continental GT Speed,Sports coupe,"$242125",2013,Bentley,Great Britain
19,Mulsanne Speed,Sedan,"$338325",2015,Bentley,Great Britain
20,3 Series,Sedan,"$34145",2012,BMW,Germany
21,M1,Sports coupe,"$499900",1981,BMW,Germany
22,M6 Coupe,Sports coupe,"$114695",2015,BMW,Germany
23,Z4,Convertible sports,"$50695",2015,BMW,Germany
24,Chiron,Supercar,"$2600000",2017,Bugatti,France
25,Veyron Grand Sport,Supercar,"€1400000",2009,Bugatti,France
26,CTS-V,Sedan,"$84990",2015,Cadillac,USA
27,Escalade,SUV,"$73965",2015,Cadillac,USA
28,Corvette C7 Stingray,Sports coupe,"$56395",2014,Chevrolet,USA
29,Corvette Z06,Sports coupe,"$80395",2006,Chevrolet,USA
30,300 SRT8,Sedan,"$47995",2012,Chrysler,USA
31,Crossfire,Sports coupe,"$34720",2007,Chrysler,USA
32,Challenger SRT Hellcat,Sports coupe,"$62495",2015,Dodge,USA
33,275 GTB/4,Sports coupe,"$10175000",1967,Ferrari,Italy
34,308 GTS,Convertible sports,"$54500",1979,Ferrari,Italy
35,360 Spider,Convertible sports,"$129900",2001,Ferrari,Italy
36,458 Italia,Sports coupe,"Rp 7.800.000.000",2009,Ferrari,Italy
37,550 Barchetta,Convertible sports,"$650000",2001,Ferrari,Italy
38,Enzo,Supercar,"$652000",2002,Ferrari,Italy
39,F40,Supercar,"$1450000",1987,Ferrari,Italy
40,F50,Supercar,"$1300000",1995,Ferrari,Italy
41,F355,Sports coupe,"$70000",1999,Ferrari,Italy
42,F430,Sports coupe,"$139900",2005,Ferrari,Italy
43,LaFerrari,Supercar,"$1420112",2015,Ferrari,Italy
44,Testarossa,Sports coupe,"$220000",1986,Ferrari,Italy
45,500,Compact,"Rp 227.635.135",2014,Fiat,Italy
46,Karma,Electric Sedan,"$102000",2012,Fisker,USA
47,F-150 SVT Raptor,Pickup,"$50000",2017,Ford,USA
48,GT,Supercar,TBD,2017,Ford,USA
49,GT90,Concept sports,N/A,1995,Ford,USA
50,Mustang GT,Sports coupe,"$33295",2015,Ford,USA
51,Apollo,Supercar,"£275000",2008,Gumpert,Germany
52,Venom GT,Supercar,"$1400000",2011,Hennessey,USA
53,H3T Alpha,SUV,"$39745",2009,Hummer,USA
54,Q60,Coupe,"$55000",2017,Infiniti,USA
55,Nazca C2,Concept sports,"$1100000",1991,Italdesign,Italy
56,C-X75,Supercar,N/A,2013,Jaguar,Great Britain
57,S-Type R,Sedan,"$49330",2003,Jaguar,Great Britain
58,XFR-S,Sedan,"$99895",2014,Jaguar,Great Britain
59,XJ220,Supercar,"$350000",1992,Jaguar,Great Britain
60,XJR,Sedan,"$118995",2014,Jaguar,Great Britain
61,XKR,Sports coupe,"$26338",2001,Jaguar,Great Britain
62,Agera R,Supercar,"$1611000",2012,Koenigsegg,Sweden
63,CC8S,Supercar,"$560000",2002,Koenigsegg,Sweden
64,CCR,Supercar,"$1000000",2004,Koenigsegg,Sweden
65,CCX,Supercar,"$650000",2011,Koenigsegg,Sweden
66,Regera,Supercar,"$1900000",2016,Koenigsegg,Sweden
67,Aventador LP700-4,Supercar,"$393695",2012,Lamborghini,Italy
68,Diablo VT 6.0,Supercar,"$300000",2001,Lamborghini,Italy
69,Egoista,Concept supercar,N/A,2013,Lamborghini,Italy
70,Gallardo LP560-4,Sports coupe,"$202000",2014,Lamborghini,Italy
71,Gallardo LP570-4 Superleggera,Sports coupe,"$235000",2011,Lamborghini,Italy
72,Huracan,Sports coupe,"$241945",2014,Lamborghini,Italy
73,Reventon,Supercar,"$2000000",2008,Lamborghini,Italy
74,Sesto Elemento,Supercar,"$3000000",2011,Lamborghini,Italy
75,Veneno,Supercar,"$4500000",2014,Lamborghini,Italy
76,Stratos,Sports coupe,"$500000",1973,Lancia,Italy
77,Range Rover Evoque,SUV,"$25500",2011,Land Rover,Great Britain
78,IS350,Sedan,"$41709",2014,Lexus,Japan
79,IS F-Sport,Sedan,"$38275",2016,Lexus,Japan
80,LF-A,Supercar,"$350000",2011,Lexus,Japan
81,RC,Sedan,"$42790",2015,Lexus,Japan
82,Exige S,Sports coupe,"$76120",2011,Lotus,Great Britain
83,B2,Supercar,"$130460",2012,Marussia,Russia
84,Exelero,Sports coupe,"$8000000",2005,Maybach,Germany
85,F1,Supercar,"$970000",1993,McLaren,Great Britain
